"ID","date","study_no","org_name","org_detail","inoc_conc","incubation","colony_count_raw","bact_hours","csa_hours","hours_diff","comment"
192,2013-07-10,"1076B","crypto_neoform","crypto_neof_atcc_14116","3e+03","csa_and_bact",NA,24.28,27.2,2.92,""
193,2013-07-10,"1076C","crypto_neoform","crypto_neof_atcc_14116","30","csa_and_bact",54,38.88,41,2.12,""
194,2013-07-10,"1076D","crypto_neoform","crypto_neof_atcc_14116","0.6","csa_and_bact",1,48.72,52.3,3.58,""
195,2013-07-10,"1077A","crypto_neoform","crypto_neof_atcc_14116","3e+05","csa_and_bact",NA,12.61,16.7,4.09,""
196,2013-07-10,"1077B","crypto_neoform","crypto_neof_atcc_14116","3e+03","csa_and_bact",NA,25.45,27,1.55,""
197,2013-07-10,"1077C","crypto_neoform","crypto_neof_atcc_14116","30","csa_and_bact",48,39.84,42.3,2.45999999999999,""
198,2013-07-10,"1077D","crypto_neoform","crypto_neof_atcc_14116","0.6","csa_and_bact",0,54,53.6,-0.399999999999999,""
199,2013-07-10,"1078A","crypto_neoform","crypto_neof_atcc_14116","3e+05","csa_and_bact",NA,11.78,14.6,2.82,""
200,2013-07-10,"1078B","crypto_neoform","crypto_neof_atcc_14116","3e+03","csa_and_bact",NA,24.78,28.3,3.52,""
201,2013-07-10,"1078C","crypto_neoform","crypto_neof_atcc_14116","30","csa_and_bact",80,35.45,40,4.55,""
202,2013-07-10,"1078D","crypto_neoform","crypto_neof_atcc_14116","0.6","csa_and_bact",1,50.88,54.6,3.72,""
203,2013-07-10,"1079","none","neg_ctrl","0","csa_and_bact",NA,NA,NA,NA,""
204,2013-07-17,"1080A","crypto_neoform","crypto_neof_atcc_14116","3e+05","csa_and_bact",NA,17.19,23.6,6.41,""
205,2013-07-17,"1080B","crypto_neoform","crypto_neof_atcc_14116","3e+03","csa_and_bact",NA,24.07,33,8.93,""
206,2013-07-17,"1080C","crypto_neoform","crypto_neof_atcc_14116","30","csa_and_bact",200,34.36,44.9,10.54,""
207,2013-07-17,"1080D","crypto_neoform","crypto_neof_atcc_14116","0.6","csa_and_bact",31,44.28,57.2,12.92,""
208,2013-07-17,"1081A","crypto_neoform","crypto_neof_atcc_14116","3e+05","csa_and_bact",NA,15.2,23,7.8,""
209,2013-07-17,"1081B","crypto_neoform","crypto_neof_atcc_14116","3e+03","csa_and_bact",NA,23.39,34,10.61,""
210,2013-07-17,"1081C","crypto_neoform","crypto_neof_atcc_14116","30","csa_and_bact",150,NA,NA,NA,""
211,2013-07-17,"1081D","crypto_neoform","crypto_neof_atcc_14116","0.6","csa_and_bact",58,43.49,54.7,11.21,"bact_cont"
212,2013-07-17,"1082A","crypto_neoform","crypto_neof_atcc_14116","3e+05","csa_and_bact",NA,13.2,21.7,8.5,""
213,2013-07-17,"1082B","crypto_neoform","crypto_neof_atcc_14116","3e+03","csa_and_bact",NA,23,31.3,8.3,""
214,2013-07-17,"1082C","crypto_neoform","crypto_neof_atcc_14116","30","csa_and_bact",160,32.08,42,9.92,""
